id_atto;tool;source_format;sequenza_blocchi
atto_27;docling;markdown;VISTO > RITENUTO > ACQUISITI_PARERI > DATO_ATTO
atto_28;docling;markdown;PREMESSO > RILEVATO > PRESO_ATTO > RICHIAMATO > RICHIAMATO > VISTO > VISTO > PRESO_ATTO > VISTO > VISTO > RITENUTO > VISTO > VISTO > VISTO > VISTO > VISTO
atto_29;docling;markdown;VISTO > CONSIDERATO > TENUTO_CONTO > RILEVATO > RICHIAMATO > DATO_ATTO > PRESO_ATTO > ACQUISITI_PARERI > VISTO
atto_3;docling;markdown;ACQUISITI_PARERI
atto_31;docling;markdown;ACQUISITO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > PRESO_ATTO > CONSIDERATO > CONSIDERATO > ANALIZZATO
atto_32;docling;markdown;PREMESSO > CONSIDERATO > VISTO > DATO_ATTO > CONSIDERATO > TENUTO_CONTO > PRESO_ATTO > DATO_ATTO > CONSIDERATO > VISTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO > VISTO > VISTO
atto_33;docling;markdown;VISTO > VISTO > VISTO > VISTO > RILEVATO > RILEVATO > PRESO_ATTO > VISTO > DATO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO > VISTO > CONSIDERATO > VISTO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > VISTO > CONSIDERATO > PRESO_ATTO > RITENUTO > RITENUTO > VISTO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_34;docling;markdown;PREMESSO > RITENUTO > VALUTATO > VISTI_PARERI > VISTO
atto_35;docling;markdown;PREMESSO > DATO_ATTO > EVIDENZIATO > CONSIDERATO > RITENUTO > VALUTATO > ACQUISITI_PARERI > VISTO > VISTO > VISTO
atto_36;docling;markdown;VISTO > VISTO > CONSIDERATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > PRECISATO > PRECISATO > VISTO > VISTO > DATO_ATTO > TENUTO_CONTO > VISTO > ATTESO > VISTI_PARERI > VISTI_PARERI > VISTO > RITENUTO
atto_37;docling;markdown;PREMESSO > RICHIAMATO > RICHIAMATO > VISTO > RICHIAMATO > CONSIDERATO > CONSIDERATO > CONSIDERATO > RITENUTO > EVIDENZIATO > VISTI_PARERI > VISTI_PARERI > VISTO > RITENUTO
atto_38;docling;markdown;FORMULATO > RILEVATO > PRECISATO > PREDISPOSTO > VISTO
atto_39;docling;markdown;FORMULATO > DATO_ATTO > CONSIDERATO > VISTO > CONSIDERATO > RITENUTO > ACQUISITO
atto_4;docling;markdown;ACQUISITI_PARERI > VISTO > VISTO > VISTO > VISTO > VISTO > DATO_ATTO > DATO_ATTO > PRESO_ATTO > CONSIDERATO > VISTO > ACQUISITO > VISTO
atto_40;docling;markdown;FORMULATO > TENUTO_CONTO > VISTO > ACQUISITO > DATO_ATTO > STABILITO > ATTESO > PRECISATO > INDIVIDUATO > PRECISATO > ACQUISITO
atto_41;docling;markdown;FORMULATO > ESAMINATO > ATTESO > VISTO > CONSIDERATO > PRESO_ATTO > VALUTATO > RICONOSCIUTO > ATTESO > RICONOSCIUTO > PRESO_ATTO > ACQUISITO > RILEVATO > VISTO
atto_42;docling;markdown;PREMESSO > CONSIDERATO > RICORDATO > RITENUTO > PRECISATO > ATTESO > EVIDENZIATO > PRECISATO > DATO_ATTO > ATTESO > RITENUTO > RITENUTO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > VISTO
atto_43;docling;markdown;PREMESSO > CONSIDERATO > PRESO_ATTO > RITENUTO > VISTO
atto_44;docling;markdown;PREMESSO > CONSIDERATO > CONSIDERATO > RITENUTO > VISTO
atto_45;docling;markdown;RILEVATO > ATTESO > VISTO > DATO_ATTO
atto_46;docling;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO
atto_47;docling;markdown;PREMESSO > ESAMINATO > EVIDENZIATO > RITENUTO > RICHIAMATO
atto_48;docling;markdown;PREMESSO > PRECISATO > DATO_ATTO > DATO_ATTO > RITENUTO > ACQUISITI_PARERI
atto_49;docling;markdown;PREMESSO > PREMESSO > RICHIAMATO > PRESO_ATTO > PRESO_ATTO > VERIFICATO > RICHIAMATO > INDIVIDUATO > PRESO_ATTO > VISTI_PARERI > RICHIAMATO > RICHIAMATO
atto_5;docling;markdown;ACQUISITI_PARERI > PREMESSO > PREMESSO > RICHIAMATO > RICHIAMATO > PRESO_ATTO > VISTO > VISTO > VISTO > VISTO > RITENUTO > VISTO > VISTO > VISTO > VISTO
atto_50;docling;markdown;PREMESSO > CONSIDERATO > PRESO_ATTO > VISTO
atto_6;docling;markdown;PREMESSO > VISTO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_7;docling;markdown;PREMESSO > VISTO > RICHIAMATO > RICHIAMATO > RITENUTO > VISTO > DATO_ATTO > CONSIDERATO > RILEVATO > VISTO > DATO_ATTO > VISTO > RITENUTO > VISTO > RITENUTO > VISTI_PARERI
atto_8;docling;markdown;PREMESSO > CONSIDERATO > RITENUTO > VISTO > ACQUISITI_PARERI
atto_9;docling;markdown;ACQUISITI_PARERI > PREMESSO > RICHIAMATO > VERIFICATO > VISTO > DATO_ATTO > ACQUISITO > RITENUTO > VISTO > VISTO > VISTO > VISTO
