id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_019;DOCLING;JSON;pdf_text_layer;100;100;100;100;100;100;;"All narrative markers present, correctly ordered, and faithful to the reference. No spurious or missing elements; boundaries stop before the PROPONE section; no noise included."
ATTO_019;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;100;100;100;;"Identical to JSON candidate; narrative matches reference perfectly with correct markers, order, and text fidelity. No noise or boundary issues."
ATTO_020;DOCLING;JSON;pdf_text_layer;94;88;90;80;100;90;Marker UDITO_1 has incorrect label (should be UDITA) and empty text | Marker VISTO_4 merges VISTO and RIUNITO content, lacking a distinct RIUNITO marker | Missing separate RIUNITO marker | Missing correct UDITA marker with its textual content;"Device markers (PROPONE, DELIBERA) were excluded from evaluation as per instructions; all other narrative blocks are present and in correct order."
ATTO_020;DOCLING;MARKDOWN;pdf_text_layer;94;88;90;80;100;90;Marker UDITO_1 has incorrect label (should be UDITA) and empty text | Marker VISTO_4 merges VISTO and RIUNITO content, lacking a distinct RIUNITO marker | Missing separate RIUNITO marker | Missing correct UDITA marker with its textual content;"Device markers (PROPONE, DELIBERA) were excluded from evaluation as per instructions; all other narrative blocks are present and in correct order."
ATTO_021;DOCLING;JSON;pdf_text_layer;58;58;95;30;95;67;Etichette errate: UDITO_1 invece di UDITA, RICHIAMATO_1 invece di RICHIAMATI, DATO_ATTO_* invece di DATO ATTO | Differenze di caso/accento: ATTESA/ATTENZA, CONTO/conto, RICONOSCIUTI/riconosciuti, ACQUISITO/acquisito, maiuscole in CHE/che, DATA/data, nonche'/nonché | Omissioni di punteggiatura/formattazione: mancanti trattini iniziali nei elenchi, sostituzione di simboli bullet (•/) con trattini o spazi | Allucinazione numerica: nel blocco RITENUTO_1 indica 'n. alunni 19' mentre il riferimento riporta 'n. alunni 18' | Errore di verbo: 'DELIBERARE' al posto di 'deliberare' nel primo blocco;La struttura dei blocchi rispetta i confini narrativa/dispositivo, ma numerosi errori lessicali, di caso, di punteggiatura e un errore sostanziale sul numero di alunni riducono markedly la fedeltà testuale.
ATTO_021;DOCLING;MARKDOWN;pdf_text_layer;58;;95;25;95;66;Stesse problematiche di etichette e caso/accento del JSON | Omissione del trattino iniziale davanti a 'Scuola Primaria' nel blocco CONSIDERATO_2 | Mancanza di virgola dopo '-Scuola Primaria - n. alunni 19.' e prima di 'trasmettere' nel blocco RITENUTO_1 | Allucinazione numerica 'n. alunni 19' invece di 18 | Uso di 'nonche'' senza accento e anno scritto '20272028' senza trattino nel VISTO_2;Analogamente al JSON, la suddivisione in blocchi è corretta ma la fedeltà testuale è ulteriormente penalizzata da errori di punteggiatura e formato elenco oltre che dall'errore sul numero di alunni.
ATTO_022;DOCLING;JSON;pdf_text_layer;75;100;80;65;100;84;"Spurious marker RICONOSCIUTO_1 | Spurious marker DISPOSITIVO_DELIBERA | Incorrect capitalization DELIBERARE vs deliberare | Extra text 'Verbale n.60' in RICONOSCIUTO_1 block | Missing sentence 'Con voti favorevoli, unanimi e palesi;' before DELIBERA";All canonical markers (PREMESSO, VISTO x3, DATO_ATTO, VISTI_PARERI) are present and correctly ordered. Narrative content is mostly faithful aside from the noted omissions and additions.
ATTO_022;DOCLING;MARKDOWN;pdf_text_layer;75;100;80;65;100;84;"Spurious marker RICONOSCIUTO_1 | Spurious marker DISPOSITIVO_DELIBERA | Incorrect capitalization DELIBERARE vs deliberare | Extra text 'Verbale n.60' in RICONOSCIUTO_1 block | Missing sentence 'Con voti favorevoli, unanimi e palesi;' before DELIBERA";"Identical to JSON extraction; same strengths and weaknesses apply."
ATTO_023;DOCLING;JSON;pdf_text_layer;88;78;44;98;10;64;"Etichetta UDITO_1 invece di UDITA (genere/numero errato) | Mancanza di etichetta separata per CONSTATATO (contenuto incluso nel blocco VISTO) | Blocco VISTO_1 unisce VISTA e CONSTATATO, causando inaccurata delimitazione dei confini | Frase di votazione ""A voti unanimi, espressi nelle forme di legge;"" inclusa nel blocco VISTI_PARERI_1 (rumore non escluso) | Blocco DISPOSITIVO_DELIBERA: DELIBERA presente (dispositivo non escluso dal rumore) | Minimo errore testuale: ""lieux"" invece di ""luoghi"" nel blocco VISTO_1";Il candidato recupera la maggior parte del contenuto narrativo ma presenta errori di etichettatura, delimitazione dei blocchi e inclusione di elementi di votazione e dispositivo che dovrebbero essere esclusi. L'errore testuale è isolato e poco influente.
ATTO_023;DOCLING;MARKDOWN;pdf_text_layer;88;78;44;98;10;64;"Etichetta UDITO_1 invece di UDITA (genere/numero errato) | Mancanza di etichetta separata per CONSTATATO (contenuto incluso nel blocco VISTO) | Blocco VISTO_1 unisce VISTA e CONSTATATO, causando inaccurata delimitazione dei confini | Frase di votazione ""A voti unanimi, espressi nelle forme di legge;"" inclusa nel blocco VISTI_PARERI_1 (rumore non escluso) | Blocco DISPOSITIVO_DELIBERA: DELIBERA presente (dispositivo non escluso dal rumore) | Minimo errore testuale: ""lieux"" invece di ""luoghi"" nel blocco VISTO_1";Il candidato in formato Markdown riproduce esattamente gli stessi contenuti del JSON, quindi presenta gli stessi problemi di precisione dei marker, di recall, di boundary accuracy e di esclusione del rumore, con un solo piccolo errore testuale.
ATTO_024;DOCLING;JSON;pdf_text_layer;90;100;55;95;40;70;"Spurious DISPOSITIVO_DELIBERA marker included (device section should be excluded) | Boundary not stopped before dispositivo; device block present | Minor formatting differences (bullet points, quote styles) but no substantive omission";"All narrative markers are present and correctly labeled; only the device block was erroneously retained, affecting boundary accuracy and noise exclusion."
ATTO_024;DOCLING;MARKDOWN;pdf_text_layer;90;100;55;95;40;70;"Spurious DISPOSITIVO_DELIBERA marker included (device section should be excluded) | Boundary not stopped before dispositivo; device block present | Minor formatting differences (bullet points, quote styles) but no substantive omission";"Identical to JSON candidate; all narrative content is correct, but the device block was not excluded as required."
ATTO_025;DOCLING;JSON;pdf_text_layer;86;92;30;95;70;75;"Omessa la frase introduttiva ""Si dà atto che l’Assessore CHIOLERO Lino partecipa alla seduta in videoconferenza ai sensi del vigente regolamento."" | Omessa la linea ""LA GIUNTA COMUNALE"" e la relativa formattazione iniziale. | Inserito marcatore spurio ATTESO_1 che non corrisponde a nessuna etichetta canonica del riferimento. | Incluso il marcatore DISPOSITIVO_DELIBERA (DELIBERA) che appartiene alla sezione dispositivo e doveva essere escluso. | Confini di inizio e fine narrativa errati: mancata inclusione della parte introduttiva e inclusione impropria del dispositivo.";Il contenuto estratto è sostanzialmente corretto dal VISTO in poi, ma presenta omissioni iniziali, confini sbagliati e rumore.
ATTO_025;DOCLING;MARKDOWN;pdf_text_layer;86;92;30;95;70;75;"Omessa la frase introduttiva ""Si dà atto che l’Assessore CHIOLERO Lino partecipa alla seduta in videoconferenza ai sensi del vigente regolamento."" | Omessa la linea ""LA GIUNTA COMUNALE"" e la relativa formattazione iniziale. | Inserito marcatore spurio ATTESO_1 che non corrisponde a nessuna etichetta canonica del riferimento. | Incluso il marcatore DISPOSITIVO_DELIBERA (DELIBERA) che appartiene alla sezione dispositivo e doveva essere escluso. | Confini di inizio e fine narrativa errati: mancata inclusione della parte introduttiva e inclusione impropria del dispositivo.";"Identico al candidato JSON; stessi problemi di omissione, confini e rumore."
ATTO_026;DOCLING;JSON;pdf_text_layer;70;70;55;94;88;75;"Marker RICHIAMATO_1 should be RICHIAMATE to match reference. | Marker RICHIAMATO_2 should be RICHIAMATA to match reference. | Marker RAVVISATO_1 should be RAVVISATA to match reference. | Included device block DISPOSITIVO_DELIBERA: DELIBERA, which should be excluded as noise before the dispositivo. | Boundary does not stop before the device block; device appears in output. | Minor punctuation/capitalization variations (e.g., 'DATA' vs 'data', quote styles) present but do not affect substance.";"Suffixes _1, _2 are permitted; VISTO label correctly covers VISTA/VISTI; ACQUISITI_PARERI is an admitted semantic label."
ATTO_026;DOCLING;MARKDOWN;pdf_text_layer;70;70;55;94;88;75;"Marker RICHIAMATO_1 should be RICHIAMATE to match reference. | Marker RICHIAMATO_2 should be RICHIAMATA to match reference. | Marker RAVVISATO_1 should be RAVVISATA to match reference. | Included device block DISPOSITIVO_DELIBERA: DELIBERA, which should be excluded as noise before the dispositivo. | Boundary does not stop before the device block; device appears in output. | Minor punctuation/capitalization variations (e.g., 'DATA' vs 'data', quote styles) present but do not affect substance.";"Suffixes _1, _2 are permitted; VISTO label correctly covers VISTA/VISTI; ACQUISITI_PARERI is an admitted semantic label."
ATTO_027;DOCLING;JSON;pdf_text_layer;75;60;75;73;0;57;Missing separate ACQUISITO marker | Missing separate SENTITO marker | Spurious ACQUISITI_PARERI marker merging ACQUISITO and SENTITO | Omission of the enumerated list (items 1‑7) under the VISTO block | Inclusion of the dispositivo heading 'DELIBERA' (noise not excluded);The candidate correctly captures VISTO, RITENUTO and DATO_ATTO blocks but fails to separate ACQUISITO and SENTITO, omits the VISTO list, and includes a noise token (DELIBERA) that should be excluded.
ATTO_027;DOCLING;MARKDOWN;pdf_text_layer;75;60;75;73;0;57;Missing separate ACQUISITO marker | Missing separate SENTITO marker | Spurious ACQUISITI_PARERI marker merging ACQUISITO and SENTITO | Omission of the enumerated list (items 1‑7) under the VISTO block | Inclusion of the dispositivo heading 'DELIBERA' (noise not excluded);"Identical to the JSON version: correct VISTO, RITENUTO, DATO_ATTO blocks; missing ACQUISITO/SENTITO separation, missing VISTO list, and noise inclusion."
ATTO_028;DOCLING;JSON;pdf_text_layer;94;94;100;85;100;95;Marker RICHIAMATI missing (expected plural form) | Unexpected marker RICHIAMATO_1 (duplicate singular) leading to extra marker | Omission of bullet points (•) after PREMESSO block | Omission of numeric list prefixes (1., 2.) after RILEVATO block | Omission of numeric list prefixes (3., 4., 5., 6.) after PRESO ATTO second block;"Marker order and labels are mostly correct; only the plural RICHIAMATI is missing and replaced by an extra singular RICHIAMATO. Text omissions mainly concern bullet points and enumerated list prefixes, affecting fidelity."
ATTO_028;DOCLING;MARKDOWN;pdf_text_layer;94;94;100;95;100;97;Marker RICHIAMATI missing (expected plural form) | Unexpected marker RICHIAMATO_1 (duplicate singular) leading to extra marker | Omission of bullet points (•) after PREMESSO block;"Marker order and labels are correct except for the missing plural RICHIAMATI and extra singular RICHIAMATO. Textual omissions are limited to the bullet points after PREMESSO; enumerated lists are preserved, resulting in high fidelity."
ATTO_029;DOCLING;JSON;pdf_text_layer;100;100;100;90;90;96;Omissione dei label 'a)' e 'b)' e della numerazione enumerata (1)-6) nel blocco TENUTO_CONTO_1. | Incluso marcatore DISPOSITIVO_DELIBERA che appartiene al dispositivo e deve essere escluso dalla narrativa.;Narrativa estratta correttamente salvo omissione di alcuni elementi strutturali nel blocco TENUTO_CONTO e presenza di marcatore dispositivo.
ATTO_029;DOCLING;MARKDOWN;pdf_text_layer;100;100;100;100;90;98;Incluso marcatore DISPOSITIVO_DELIBERA che appartiene al dispositivo e deve essere escluso dalla narrativa.;"Narrativa estratta fedelmente; unico rumore è il marcatore dispositivo."
