insieme;id_precedente;nome_precedente;id_documento;nome_file;percorso_relativo
GOLDEN;ATTO_100;atto_100.pdf;GOLD_0050;GOLD_0050.pdf;Delibere golden\GOLD_0050.pdf
INPUT;ATTO_002;atto_2.pdf;INPUT_0001;INPUT_0001.pdf;Input\INPUT_0001.pdf
INPUT;ATTO_004;atto_4.pdf;INPUT_0002;INPUT_0002.pdf;Input\INPUT_0002.pdf
INPUT;ATTO_007;atto_7.pdf;INPUT_0003;INPUT_0003.pdf;Input\INPUT_0003.pdf
INPUT;ATTO_012;atto_12.pdf;INPUT_0004;INPUT_0004.pdf;Input\INPUT_0004.pdf
INPUT;ATTO_016;atto_16.pdf;INPUT_0005;INPUT_0005.pdf;Input\INPUT_0005.pdf
INPUT;ATTO_017;atto_17.pdf;INPUT_0006;INPUT_0006.pdf;Input\INPUT_0006.pdf
INPUT;ATTO_023;atto_23.pdf;INPUT_0007;INPUT_0007.pdf;Input\INPUT_0007.pdf
INPUT;ATTO_028;atto_28.pdf;INPUT_0008;INPUT_0008.pdf;Input\INPUT_0008.pdf
INPUT;ATTO_029;atto_29.pdf;INPUT_0009;INPUT_0009.pdf;Input\INPUT_0009.pdf
INPUT;ATTO_030;atto_30.pdf;INPUT_0010;INPUT_0010.pdf;Input\INPUT_0010.pdf
INPUT;ATTO_031;atto_31.pdf;INPUT_0011;INPUT_0011.pdf;Input\INPUT_0011.pdf
INPUT;ATTO_035;atto_35.pdf;INPUT_0012;INPUT_0012.pdf;Input\INPUT_0012.pdf
INPUT;ATTO_037;atto_37.pdf;INPUT_0013;INPUT_0013.pdf;Input\INPUT_0013.pdf
INPUT;ATTO_038;atto_38.pdf;INPUT_0014;INPUT_0014.pdf;Input\INPUT_0014.pdf
INPUT;ATTO_042;atto_42.pdf;INPUT_0015;INPUT_0015.pdf;Input\INPUT_0015.pdf
INPUT;ATTO_045;atto_45.pdf;INPUT_0016;INPUT_0016.pdf;Input\INPUT_0016.pdf
INPUT;ATTO_050;atto_50.pdf;INPUT_0017;INPUT_0017.pdf;Input\INPUT_0017.pdf
INPUT;ATTO_101;atto_101.pdf;INPUT_0018;INPUT_0018.pdf;Input\INPUT_0018.pdf
INPUT;ATTO_102;atto_102.pdf;INPUT_0019;INPUT_0019.pdf;Input\INPUT_0019.pdf
INPUT;ATTO_103;atto_103.pdf;INPUT_0020;INPUT_0020.pdf;Input\INPUT_0020.pdf
